Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,132.27,1056,2.74,795.77,100,500,1.3227,""
2,149.15,960,2.92,897.39,100,500,1.4915,""
3,164.86,864,3.25,995.89,100,500,1.6486,""
4,188.94,768,3.77,1133.37,100,500,1.8894,""
5,211.78,672,6.68,1278.2,100,500,2.1178,""
6,251.63,576,5.12,1518.21,100,500,2.5163,""
7,304.29,480,5.9,1821.69,100,500,3.0429,""
8,389.61,384,7.31,2333.58,100,500,3.8961,""
9,512.1,288,9.33,3077.39,100,500,5.121,""
10,778.09,192,14.77,4662.85,100,500,7.7809,""
11,1554.76,96,30.45,9367.6,100,500,15.5476,""
