Number,simpleFoam,simpleFoamClock,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,clock/iter,Comment,,
1,212.95,215,672,4.1,1283.09,100,500,2.1295,,,,
2,212.55,219,672,4.2,1282.33,100,500,2.1255,,,,
3,213.95,216,672,16.64,1300.95,100,500,2.1395,,,,
4,214.82,220,672,10.14,1293.08,100,500,2.1482,,,,
5,212.59,220,672,4.11,1281,100,500,2.1259,,,,
6,213.16,215,672,4.09,1327.18,100,500,2.1316,,,,
7,213.96,216,672,4.73,1293.46,100,500,2.1396,,,,
8,213.51,216,672,4.23,1285.73,100,500,2.1351,,,,
9,212.5,214,672,8.23,1286.25,100,500,2.125,,,,
10,212.58,214,672,4.26,1281.27,100,500,2.1258,,,,
11,212.89,215,672,4.27,1284.29,100,500,2.1289,,,,
12,213.6,216,672,4.04,1287.78,100,500,2.136,,,,
13,212.78,214,672,4.3,1283.25,100,500,2.1278,,,,
14,213.37,222,672,4.48,1286.66,100,500,2.1337,,,,
15,213.28,215,672,4.41,1285.83,100,500,2.1328,,,,
16,213.74,216,672,4.45,1287.71,100,500,2.1374,,,,
17,672,1520.35,3086,1519.35,3085,10.78,1530.13,99,1,15.35707071,31.17171717,"standard,1"
18,672,2012.04,3378,2011.04,3377,10.78,2021.82,100,1,20.1204,,
19,672,1416.6,3116,1415.6,3115,10.78,1426.38,100,1,14.166,,
20,672,1288.47,3211,1287.47,3210,10.78,1298.25,100,1,12.8847,,
21,672,1330.55,3019,1329.55,3018,10.78,1340.33,100,1,13.3055,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,HFI 1,,,HFI 0,,,Multirail,,,GekkoFS,,
,2.15,"HF1,100",,2.2,"HF0,100",,2.14,"standard,100",,2.14,"gekko,100",
,2.19,"HF1,50",,2.15,"HF0,50",,2.14,"standard,50",,2.16,"gekko,50",
,2.16,"HF1,25",,2.16,"HF0,25",,2.15,"standard,25",,2.15,"gekko,25",
,2.2,"HF1,20",,2.16,"HF0,20",,2.16,"standard,20",,2.16,"gekko,20",
,31.16,"HF1,1",,32.11,"HF0,1",,33.78,"standard,1",,30.19,"gekko,1",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,100,,,,,,,,,,
,,50,,,,,Lustre,,,,,
,,25,,,,,,,,,,
,,20,,,,,,,,,,
