Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,213.48,672,4.11,1305.62,100,500,2.1348,"HF1,100"
2,212.85,672,43.27,1321.81,100,500,2.1285,"HF1,50"
3,213.56,672,4.83,1288.09,100,500,2.1356,"HF1,25"
4,213.43,672,18.47,1300.75,100,500,2.1343,"HF1,20"
5,213.16,672,4.1,1282.12,100,500,2.1316,"HF0,100"
6,212.94,672,13.49,1294.64,100,500,2.1294,"HF0,50"
7,213.6,672,4.11,1286.32,100,500,2.136,"HF0,25"
8,214.52,672,4.15,1290.02,100,500,2.1452,"HF0,20"
9,212.51,672,4.23,1279.15,100,500,2.1251,"standard,100"
10,212.75,672,4.12,1281.81,100,500,2.1275,"standard,50"
11,214.1,672,4.54,1285.35,100,500,2.141,"standard,25"
