Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,130.93,1056,2.95,791.41,100,500,1.3093,"fully utilizing 22 nodes"
2,131.06,1056,3.12,790.85,100,500,1.3106,""
3,135.98,1012,5.45,820.67,100,500,1.3598,""
4,143.15,968,3.07,858.46,100,500,1.4315,""
5,145.73,924,2.88,880.26,100,500,1.4573,""
6,155.03,880,3.2,935.87,100,500,1.5503,""
7,165.03,836,3.4,996.62,100,500,1.6503,""
8,174.73,792,3.63,1055.3,100,500,1.7473,""
9,184.28,748,3.68,1111.53,100,500,1.8428,""
10,198.73,704,3.79,1199.94,100,500,1.9873,""
11,213.71,660,4.05,1286.83,100,500,2.1371,""
12,227.92,616,4.6,1371.9,100,500,2.2792,""
13,244.96,572,4.94,1476.75,100,500,2.4496,""
14,266.51,528,5.12,1606.73,100,500,2.6651,""
15,296.55,484,5.57,1779.04,100,500,2.9655,""
16,297.65,440,5.87,1791.41,100,500,2.9765,""
17,277.39,396,5.68,1658.89,100,500,2.7739,""
18,307.75,352,5.92,1852.66,100,500,3.0775,""
19,319.01,308,6.01,1916.62,100,500,3.1901,""
20,312.06,264,6.54,1880.72,100,500,3.1206,""
21,362.23,220,7.21,2184.88,100,500,3.6223,""
22,415.8,176,8.6,2495.29,100,500,4.158,""
23,463.8,132,9.7,2775.35,100,500,4.638,""
24,720.85,88,15.12,4331.07,100,500,7.2085,""
25,1170.84,44,31.82,1201.66,100,-42,11.7084,""
26,1649.29,44,32.14,1680.43,100,-41,16.4929,""
27,132.01,1056,2.76,797.09,100,500,1.3201,""
28,1065.81,44,28.41,1093.22,100,-42,10.6581,""
29,120.11,1152,3.33,724.91,100,500,1.2011,""
